ID,Age,Gender,Ethnicity,parent edu,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
101,17,female,Asian,high school,6.029123728,23,yes,1,1,1,0,1,1.27122953,4
102,16,female,CaucAsian, school,1.891126895,6,no,3,1,0,1,1,2.526142141,2
103,16,male,African American,high school,15.16769543,27,no,3,1,1,0,0,0.942415395,4
104,18,female,CaucAsian,bachelor,12.12027664,20,yes,2,0,1,0,0,1.515639098,4
105,16,female,African American,none,11.40625016,29,no,3,1,0,0,0,0.648273927,4
106,16,female,Asian,bachelor,1.071531192,14,no,3,0,1,1,1,2.048850082,3
107,16,male,others,high school,2.809980196,18,no,0,1,0,0,1,0.842295999,4
108,18,female,CaucAsian,none,12.45098792,15,no,1,0,1,0,0,1.464187924,4
109,16,female,Asian,bachelor,4.156476829,24,yes,3,1,1,0,0,1.487946865,4
110,17,male,Asian,high school,10.08140159,12,yes,4,0,0,0,0,2.587565796,2
111,18,male,African American,high school,10.89763372,4,yes,3,0,0,0,0,3.220806978,1
112,17,female,others,none,5.670143805,2,yes,4,0,0,1,0,3.545159432,0
113,18,female,CaucAsian,high school,18.96850311,2,no,2,0,0,0,0,3.089598953,1
114,16,male,CaucAsian,high school,16.84928214,18,yes,1,0,1,1,0,1.91995644,4
115,17,male,Asian,none,14.44747015,13,yes,2,0,0,0,0,2.198593185,3
116,18,female,CaucAsian, school,1.559877328,15,no,0,0,0,0,1,0.878212617,4
117,15,female,Asian,none,2.122600386,21,no,3,1,0,1,0,1.340368648,4
118,16,female,Asian,bachelor,9.855626917,16,no,4,0,0,0,0,1.819511336,4
119,18,female,CaucAsian,high school,3.214266984,26,no,3,0,1,0,0,0.619350931,4
120,15,male,Asian,high school,19.56530927,3,no,2,1,0,1,1,3.61946087,0
121,18,female,CaucAsian, school,3.170404681,12,yes,1,1,1,0,0,2.174902796,3
122,15,female,African American,high school,9.749356709,7,yes,1,0,1,1,0,2.974406015,2
123,16,male,African American,higher,7.282421137,18,no,2,0,0,0,0,0.980735844,4
124,17,female,others,high school,12.78772843,4,no,3,0,0,0,0,3.101673809,1
125,15,male,CaucAsian,bachelor,2.580728178,1,yes,2,1,0,1,0,3.498257342,1
126,18,female,CaucAsian,bachelor,8.606328561,14,no,4,1,0,0,0,2.590553445,2
127,16,female,African American, school,5.494100656,1,no,3,1,0,0,0,3.535003758,0
128,15,male,Asian,bachelor,17.75503049,10,yes,1,0,1,0,0,2.819921745,2
129,18,male,African American,bachelor,0.811714243,12,yes,1,1,1,0,0,2.016596775,3
130,18,female,CaucAsian,high school,18.27454988,22,yes,3,0,0,0,0,1.371185039,4
131,18,female,CaucAsian,high school,16.65988277,9,no,1,0,0,0,0,2.104795588,3
132,15,female,CaucAsian, school,5.951414329,2,no,3,0,0,0,0,3.030439089,1
133,15,male,Asian,high school,15.78581309,4,yes,2,0,1,0,0,3.582421872,0
134,15,female,CaucAsian,high school,0.624271207,2,no,1,1,0,0,0,2.426546706,3
135,17,male,CaucAsian,bachelor,19.33731101,5,yes,2,1,0,0,0,3.16143627,1
136,15,male,others,high school,10.53189885,12,no,2,1,0,0,0,2.12263853,3
137,15,female,CaucAsian,higher,6.065620521,9,no,3,0,1,0,0,2.204860581,3
138,15,male,others,bachelor,7.251664252,18,no,0,1,0,1,1,1.1829875,4
139,17,female,African American,bachelor,1.328107069,7,no,3,1,0,0,0,2.738795716,2
140,15,female,Asian, school,19.78699028,17,yes,3,0,0,0,0,2.237901301,3
141,18,female,CaucAsian,none,0.785838903,2,no,3,1,0,0,0,3.139481546,1
142,15,female,CaucAsian,high school,13.09814246,23,yes,0,1,1,0,0,1.046044771,4
143,18,female,Asian,bachelor,8.854718554,23,yes,3,0,0,0,0,0.816458245,4
144,18,male,Asian,high school,18.97832436,16,no,2,1,0,1,0,2.033544621,3
145,18,male,Asian,bachelor,4.919994806,7,yes,2,1,1,0,0,2.432078523,3
146,17,female,CaucAsian, school,10.64173648,9,no,3,1,0,0,0,2.65977132,2
147,17,female,Asian,bachelor,9.647124172,1,yes,2,1,0,0,1,3.58888794,0
148,17,male,Asian,high school,14.05732888,11,no,3,0,1,0,0,2.314587628,3
149,15,male,African American,higher,1.360204639,22,no,1,1,1,0,1,1.00722582,4
150,18,male,Asian,bachelor,3.8757826,5,no,3,1,0,0,0,2.881612321,2
151,17,male,Asian,bachelor,4.291296402,1,no,1,0,1,1,0,2.804504929,2
152,17,female,African American,high school,14.7630151,20,yes,3,0,1,0,0,1.762921124,4
153,15,female,CaucAsian, school,3.782773927,22,no,4,1,0,0,1,1.119911263,4
154,17,male,CaucAsian,bachelor,11.46983528,23,no,2,0,0,0,0,1.030657506,4
155,15,female,CaucAsian,bachelor,4.30487641,2,no,2,1,0,0,0,3.075619354,1
156,16,male,CaucAsian, school,17.232499,16,yes,3,1,1,0,0,2.631434065,2
157,17,female,CaucAsian,high school,18.84370909,28,no,0,0,1,1,1,0.503066907,4
158,16,male,CaucAsian,bachelor,10.3698595,6,no,2,0,0,0,0,2.784237837,2
159,15,female,CaucAsian, school,7.046177684,28,no,2,0,0,0,0,0.247626765,4
160,18,male,CaucAsian,high school,4.6811555,20,no,3,0,0,0,1,1.18954877,4
161,17,male,Asian,bachelor,0.99562003,4,yes,3,1,0,0,1,3.375994009,1
162,15,female,others, school,5.370001524,22,yes,3,0,0,0,0,1.293573556,4
163,18,male,CaucAsian,bachelor,13.0847156,0,yes,3,0,0,1,1,3.718586904,0
164,18,female,others,bachelor,10.67233863,7,no,3,1,0,0,0,2.670559615,2
165,16,female,African American, school,18.88082557,11,yes,2,1,0,0,0,2.369648013,3
166,15,male,CaucAsian, school,7.92554525,13,no,2,0,1,0,0,1.62448682,4
167,18,female,CaucAsian,high school,13.87726685,15,yes,2,1,1,0,0,2.537476828,2
168,17,female,African American,none,9.78645495,9,no,4,0,1,0,0,2.298417929,3
169,17,female,Asian,bachelor,10.25152432,14,no,3,1,0,0,0,2.25980415,3
170,16,female,Asian,bachelor,5.355486292,20,no,2,0,1,0,0,1.321343301,4
171,18,female,CaucAsian,bachelor,9.099015537,23,no,3,0,1,0,0,0.949974228,4
172,15,male,CaucAsian,bachelor,9.41569994,25,no,2,1,0,0,1,0.818786616,4
173,17,female,CaucAsian,high school,14.13285043,14,yes,3,0,0,0,0,2.339224513,3
174,18,female,CaucAsian,bachelor,18.81279998,9,no,2,0,1,0,0,2.682776288,2
175,18,female,CaucAsian,high school,6.58642555,20,yes,1,1,0,0,0,1.543837471,4
176,16,female,CaucAsian,bachelor,0.844009372,27,no,3,1,0,0,0,0.196901105,4
177,17,female,Asian,bachelor,9.92590251,6,no,3,0,0,0,0,2.748610257,2
178,17,male,others,high school,10.88922664,25,yes,2,1,0,1,0,1.104893788,4
179,15,female,CaucAsian,high school,3.368811023,2,no,2,1,0,0,0,2.553439811,2
180,17,male,others,bachelor,15.20929213,1,no,3,1,0,0,1,3.274233459,1
181,15,male,CaucAsian,bachelor,19.69858217,5,yes,3,0,0,0,0,3.186060378,1
182,17,male,CaucAsian,high school,18.91549434,20,no,3,1,0,0,0,1.72211575,4
183,16,male,CaucAsian,higher,3.942120776,8,no,2,1,1,0,0,2.338046358,3
184,17,female,African American,bachelor,17.5072648,9,yes,4,1,1,0,0,3.273998748,1
185,15,male,others,higher,14.08987273,3,no,3,0,0,0,0,2.993502391,2
186,15,male,African American,bachelor,9.076931276,26,yes,3,1,0,0,0,0.896397899,4
187,16,female,CaucAsian,bachelor,10.81221989,2,no,3,0,0,0,0,2.961055259,2
188,17,female,African American, school,16.9920035,8,no,1,1,0,0,0,2.674351095,2
189,17,female,CaucAsian,bachelor,9.602698793,23,no,0,1,1,0,0,1.217873151,4
190,16,male,Asian,bachelor,7.464147382,21,yes,3,0,0,0,0,1.36559111,4
191,17,female,African American,high school,9.864949861,16,no,2,0,0,0,1,1.522274845,4
192,17,female,CaucAsian,bachelor,11.58259608,13,yes,3,0,0,0,0,2.231402397,3
193,15,male,African American,high school,3.781553076,9,no,2,1,0,0,0,2.135266355,3
194,17,female,African American,high school,18.01815461,12,no,2,0,0,0,0,2.255698915,3
195,17,female,CaucAsian,none,13.48373898,11,yes,1,1,0,1,0,2.751145788,2
196,16,female,African American,none,12.66537835,26,no,3,1,1,0,0,0.897634159,4
197,16,female,CaucAsian,higher,1.989924524,0,no,1,1,0,0,1,3.117354435,1
198,18,male,Asian,high school,12.08347876,27,no,3,1,0,1,0,1.287595131,4
199,15,female,Asian,bachelor,2.419213245,21,no,2,0,0,0,0,0.571053098,4
200,17,female,Asian, school,1.573953504,28,no,3,1,0,0,0,0.581355799,4
201,17,male,African American,bachelor,10.54621791,18,no,1,0,0,1,0,1.643462404,4
202,18,female,African American,high school,8.055710681,18,no,1,0,0,0,0,1.234844041,4
203,17,male,CaucAsian,bachelor,11.7762054,5,no,3,0,1,0,1,2.96809362,2
204,15,female,Asian,bachelor,1.784443361,12,no,2,1,0,0,0,2.00929848,3
205,18,male,CaucAsian,bachelor,8.619661257,18,no,1,1,0,0,0,1.146086034,4
206,15,male,CaucAsian,bachelor,3.495734301,12,yes,4,0,0,0,0,2.192363198,3
207,18,male,CaucAsian,higher,19.74200172,26,yes,1,1,0,0,0,0.945730873,4
208,18,male,CaucAsian,bachelor,11.22300425,25,no,2,1,0,0,0,0.567250028,4
209,16,female,African American,high school,13.74873722,21,no,1,0,0,0,0,0.970764347,4
210,15,male,CaucAsian,bachelor,6.508365614,20,yes,2,1,0,1,1,1.656060126,4
211,17,female,Asian,none,1.894778296,3,no,2,0,0,1,0,2.839313249,2
212,17,male,CaucAsian, school,19.51741726,23,no,1,0,0,1,1,0.18981806,4
213,15,male,CaucAsian,high school,5.725180708,1,no,3,1,0,0,0,3.258294685,1
214,17,male,African American,high school,8.476163703,14,yes,2,0,0,0,0,1.920055853,4
215,17,female,CaucAsian, school,12.99727843,11,no,3,0,0,0,0,2.021771494,3
216,15,male,CaucAsian,bachelor,0.493945954,29,yes,1,1,0,0,0,0.125933075,4
217,18,female,Asian,high school,16.20518261,26,yes,2,1,0,0,0,1.287013412,4
218,15,female,CaucAsian,bachelor,10.7315638,6,no,0,1,0,1,0,2.591426703,2
219,18,female,Asian, school,5.564343741,19,yes,3,0,0,0,0,1.463379649,4
220,17,female,CaucAsian,high school,1.232159706,17,no,3,0,0,0,0,1.465549386,4
221,17,female,CaucAsian, school,3.249968309,22,no,3,1,1,0,1,1.710466838,4
222,17,female,Asian,none,17.90067718,12,no,2,0,1,0,1,2.288505685,3
223,16,female,CaucAsian,bachelor,13.72048448,16,no,3,0,0,1,0,1.960968849,4
224,18,female,CaucAsian, school,4.998034433,3,no,3,0,0,0,0,2.621623326,2
225,16,female,CaucAsian,high school,1.312015299,24,no,0,1,0,0,0,0.768316386,4
226,16,male,CaucAsian,bachelor,13.81230625,13,no,1,0,0,1,0,1.806406345,4
227,15,male,Asian,high school,11.44815452,19,no,2,0,0,0,0,0.881866353,4
228,16,male,CaucAsian,bachelor,8.090390489,27,no,3,0,1,0,0,0.817068221,4
229,15,male,Asian,bachelor,7.272228984,12,yes,0,0,0,0,0,1.446132528,4
230,15,male,Asian,bachelor,4.336285519,2,no,3,0,1,0,0,3.339094362,1
231,16,female,CaucAsian,high school,13.39222513,25,no,2,0,0,0,0,0.819625478,4
232,18,female,others,high school,19.41336056,25,no,2,0,0,0,0,0.676817973,4
233,18,female,CaucAsian,none,3.514304917,17,no,1,0,1,0,1,1.389544874,4
234,18,female,others,high school,11.9423324,13,no,2,0,1,0,1,1.991508414,4
235,18,female,CaucAsian,bachelor,8.483701115,14,no,0,0,1,0,0,1.63986755,4
236,18,female,African American, school,8.933774435,2,no,0,0,1,0,0,2.511743021,2
237,16,female,CaucAsian,bachelor,5.082945603,0,no,3,0,0,1,0,2.98391995,2
238,16,male,CaucAsian,bachelor,16.50269751,25,yes,2,0,0,1,0,1.258654854,4
239,17,male,African American,higher,9.705112083,23,yes,2,0,0,0,0,1.417929927,4
240,18,male,Asian,bachelor,10.86811704,16,no,1,1,0,1,0,1.597016572,4
241,16,male,CaucAsian, school,6.095218256,2,yes,2,0,1,0,0,3.088699868,1
242,17,female,CaucAsian,bachelor,3.636169313,13,no,0,1,1,0,0,1.641341443,4
243,18,female,Asian,high school,1.718207764,2,no,2,0,1,0,0,2.586870656,2
244,15,female,African American,none,14.28238282,12,yes,2,0,0,0,0,2.389032645,3
245,17,male,others,bachelor,3.924685634,14,no,2,1,0,0,0,1.8981464,4
246,16,female,Asian,high school,13.80150708,17,no,4,0,1,0,0,2.110487975,3
247,15,female,others,high school,7.807528921,13,no,2,0,0,0,0,1.700273589,4
248,15,female,Asian,bachelor,8.31549602,20,no,2,1,0,0,0,1.044499995,4
249,15,male,CaucAsian,bachelor,9.383549922,25,no,2,0,1,0,0,1.194166134,4
250,17,female,CaucAsian,bachelor,7.354170163,2,no,1,0,0,1,0,2.649136828,2
251,16,male,Asian,high school,2.012399544,18,no,3,0,1,0,0,1.234141389,4
252,15,male,African American,high school,6.1926362,7,no,2,1,0,0,0,2.127408866,3
253,18,male,CaucAsian,bachelor,13.27468721,3,yes,1,1,0,0,0,2.913887649,2
254,15,male,CaucAsian,higher,13.31568803,3,no,3,0,0,0,1,3.119393913,1
255,15,female,others,bachelor,5.724486145,18,yes,0,0,0,0,0,1.036378738,4
256,17,male,African American, school,9.202052531,10,no,4,1,0,0,1,2.403284547,3
257,17,male,CaucAsian,bachelor,3.86894456,0,yes,3,0,0,0,0,3.156508064,1
258,16,female,CaucAsian,bachelor,4.207441631,7,yes,2,0,1,1,0,2.723471859,2
259,18,female,CaucAsian,high school,0.460941768,14,no,1,1,1,0,0,1.530951146,4
260,17,male,CaucAsian,bachelor,17.934931,0,no,1,0,0,0,0,3.468581349,1
261,15,female,CaucAsian,bachelor,4.214133301,6,no,1,1,0,0,0,2.302032044,3
262,16,male,CaucAsian,bachelor,4.550677539,20,yes,1,1,0,0,0,1.265677909,4
263,15,male,Asian,bachelor,5.592028653,19,no,2,1,1,0,1,1.479602228,4
264,15,male,CaucAsian,bachelor,2.548161434,19,no,4,0,0,1,1,1.445076719,4
265,17,male,Asian,high school,12.78525766,23,no,2,0,0,0,0,0.80943381,4
266,16,female,Asian,bachelor,1.502859064,10,yes,3,0,0,0,0,2.15023327,3
267,18,male,CaucAsian,high school,2.684048527,26,no,3,0,0,0,0,0.559143716,4
268,18,female,African American, school,12.89513453,28,no,3,0,0,0,0,0.580788485,4
269,17,female,CaucAsian,high school,6.79321241,13,no,0,0,1,1,1,1.602089196,4
270,17,female,Asian,none,14.15895653,21,yes,2,0,1,0,0,1.002798364,4
271,16,female,CaucAsian,bachelor,11.14849489,15,no,3,0,0,0,0,1.663063453,4
272,18,male,African American,bachelor,5.120423461,13,no,3,0,0,0,1,1.53154646,4
273,18,female,African American,bachelor,13.01655901,11,no,4,0,0,0,0,2.205842147,3
274,18,male,CaucAsian,high school,2.325473606,16,no,3,0,0,0,1,1.155338561,4
275,15,female,CaucAsian,bachelor,10.72820766,13,yes,1,0,0,0,0,2.15375834,3
276,18,female,African American,high school,8.742962101,9,no,2,1,0,0,1,2.592786686,2
277,15,male,Asian, school,5.357471656,23,no,0,1,1,0,0,0.912330507,4
278,16,male,CaucAsian, school,12.08009995,28,yes,3,0,0,0,0,0.695630933,4
279,15,male,African American,bachelor,17.42667185,13,yes,2,0,0,0,0,2.139619891,3
280,16,female,CaucAsian,high school,19.978094,17,no,3,0,0,0,0,1.550449331,4
281,18,female,Asian,bachelor,12.15525537,21,no,4,0,0,0,1,1.5475367,4
282,18,male,CaucAsian,none,8.094117487,8,yes,3,0,0,1,0,2.966548034,2
283,16,male,Asian,bachelor,4.504142004,16,no,2,1,0,0,1,1.633679371,4
284,17,male,CaucAsian,high school,5.141921788,5,yes,1,0,0,0,0,2.33254032,3
285,16,male,CaucAsian, school,9.589099563,7,yes,3,1,1,1,0,3.270262309,1
286,17,female,CaucAsian,none,7.345554026,25,no,1,0,0,0,0,0.346470593,4
287,15,male,CaucAsian,bachelor,18.27629045,12,yes,1,0,0,0,0,1.894904336,4
288,15,male,African American,bachelor,7.365909353,17,no,1,0,0,0,0,1.456742601,4
289,15,male,CaucAsian,bachelor,7.468891823,4,no,2,1,0,0,0,2.553723151,2
290,18,male,Asian,none,7.670690249,5,no,1,0,0,0,0,2.224197461,3
291,15,female,CaucAsian,higher,16.73240421,20,yes,4,0,1,1,0,1.847600418,4
292,17,male,CaucAsian,bachelor,13.01576642,18,no,4,1,0,0,0,1.849760707,4
293,15,female,CaucAsian,bachelor,12.28337701,3,no,4,0,0,1,0,3.268794216,1
294,16,male,CaucAsian,high school,6.682860448,6,yes,0,0,0,0,1,2.546516637,2
295,16,male,CaucAsian,bachelor,16.35808354,3,no,4,0,0,0,0,3.101229221,1
296,18,female,CaucAsian,bachelor,0.767277227,24,no,4,0,0,1,0,0.655954078,4
297,16,male,CaucAsian,none,17.41594345,10,yes,4,0,1,0,0,3.088512306,1
298,17,female,CaucAsian,high school,10.254998,11,yes,3,0,0,0,0,1.992559805,4
299,15,female,African American, school,7.965004697,13,yes,3,0,1,0,0,2.605247446,2
300,18,male,African American,high school,9.943345614,12,yes,1,0,0,0,0,1.733972454,4
301,15,female,CaucAsian,high school,13.34831061,28,no,3,1,0,0,0,1.113848788,4
302,15,female,CaucAsian,bachelor,0.25530853,9,no,0,1,0,0,0,1.649250252,4
303,17,female,others,bachelor,17.43103713,17,no,2,0,0,0,0,1.33755498,4
304,16,female,African American,none,8.934790506,15,no,4,0,0,0,0,1.984659919,4
305,16,female,African American,bachelor,6.859330394,4,no,2,0,1,1,0,3.060881656,1
306,15,female,CaucAsian,high school,2.764911313,7,yes,1,0,0,0,0,2.392897358,3
307,18,female,Asian,none,8.789307487,13,no,4,0,0,0,0,2.08379699,3
308,16,female,Asian,none,9.926455426,4,no,4,0,1,0,1,3.645738049,0
309,18,male,African American, school,8.07293389,25,no,1,1,0,0,0,0.322286082,4
310,16,male,others,high school,13.57320188,27,no,3,0,1,0,0,1.129514334,4
311,18,female,CaucAsian,none,8.417930575,23,no,2,1,0,0,0,0.630756944,4
312,17,male,CaucAsian,bachelor,19.22835156,7,no,2,0,0,1,1,3.157229639,1
313,18,female,Asian, school,11.98555036,24,no,1,0,0,0,0,0.680087787,4
314,17,female,Asian,high school,16.14955871,25,no,0,0,0,0,0,0.796359848,4
315,17,male,CaucAsian,bachelor,2.187118062,5,yes,1,0,1,0,0,2.844039215,2
316,18,female,CaucAsian,none,7.945825859,15,yes,0,0,1,0,0,1.253451854,4
317,17,female,CaucAsian,bachelor,6.736954029,27,no,4,0,0,0,0,0.534508881,4
318,15,female,CaucAsian,bachelor,11.38964776,3,yes,3,1,0,0,0,3.191046118,1
319,17,female,Asian,bachelor,17.2222704,11,no,3,0,0,1,0,2.815421275,2
320,16,male,African American,high school,1.566764355,10,no,3,0,0,0,0,2.157122303,3
321,18,female,CaucAsian,high school,1.451495961,2,no,1,1,0,0,0,2.72382806,2
322,15,female,CaucAsian,high school,17.00635416,11,no,4,1,0,0,0,2.627693906,2
